MES_INICIO,RHS_INICIAL,USINA,VMAX_HIDR,VMIN_HIDR,VUTIL,PERC_VUTIL,VUTIL_ACOPLA,PIV,CALC_V,RHS_FINAL_VOL
6,1013508459.4247,CANASTRA,0.3840000033378601,0.18299999833106995,0.20100000500679016,20,0.04020000100135804,-334.90158,-13.46304385135639,1013508445.9616562
6,1012490144.4736814,CORUMBA IV,3708.0,2936.60009765625,771.39990234375,20,154.27998046875,-886.16959,-136718.2270372002,1012353426.2466443
6,1002635066.1628131,FUNIL-GRANDE,304.0,304.0,0.0,20,0.0,-936.9578,-0.0,1002635066.1628131
6,994818267.2531879,ITAIPU,29403.91015625,27695.189453125,1708.720703125,20,341.744140625,-124.80358,-42650.892194023436,994775616.3609939
6,986722378.2475523,CAPIM BRANC2,879.0,878.0,1.0,20,0.2,-930.29572,-186.059144,986722192.1884083
6,977386623.5290312,BATALHA,1781.6099853515625,430.04998779296875,1351.5599975585938,20,270.31199951171874,-909.66177,-245892.4919280692,977140731.037103
6,963576461.532964,CACH.CALDEIR,230.55999755859375,230.55999755859375,0.0,20,0.0,-33.58941,-0.0,963576461.532964
6,963467750.4584467,SERRA FACAO,5199.0,1752.0,3447.0,20,689.4000000000001,-878.43224,-605591.1862560001,962862159.2721907
6,954034251.5533699,VOLTA GRANDE,2244.0,2244.0,0.0,20,0.0,-613.47363,-0.0,954034251.5533699
6,950535100.8666658,CAPIM BRANC1,241.1300048828125,228.27000427246094,12.860000610351562,20,2.5720001220703126,-994.6406,-2558.2157446160886,950532542.6509212
6,930475466.073478,SALTO GRANDE,78.0,78.0,0.0,20,0.0,-227.97095,-0.0,930475466.073478
6,928778470.671091,JAURU,17.149999618530273,16.170000076293945,0.9799995422363281,20,0.19599990844726564,-113.19893,-22.186979916328433,928778448.4841111
6,926905498.6547159,NILO PECANHA,38.0,38.0,0.0,20,0.0,-313.72094,-0.0,926905498.6547159
6,924823273.5244101,FONTES,445.3500061035156,445.3500061035156,0.0,20,0.0,-345.58577,-0.0,924823273.5244101
6,923516019.2524168,BAGUARI,38.06999969482422,31.420000076293945,6.649999618530273,20,1.3299999237060547,-74.63872,-99.26949190551758,923515919.9829249
6,922952799.1561666,D. FRANCISCA,330.0,330.0,0.0,20,0.0,-34.40107,-0.0,922952799.1561666
6,922874927.0798457,SAO DOMINGOS,131.3000030517578,116.44999694824219,14.850006103515625,20,2.970001220703125,-295.73589,-878.3359543057251,922874048.7438914
6,919108645.022953,RETIRO BAIXO,241.58999633789062,200.72000122070312,40.8699951171875,20,8.173999023437501,-575.91896,-4707.561016619141,919103937.4619365
6,913949745.1997985,TRES MARIAS,19528.0,4250.0,15278.0,20,3055.6000000000004,-418.60653,-1279094.1130680002,912670651.0867305
6,909834877.8940982,P. CAVALO,3134.0,2192.0,942.0,20,188.4,-276.48334,-52089.461256,909782788.4328421
6,909105347.2443945,PEIXE ANGIC,2741.0,2212.699951171875,528.300048828125,20,105.660009765625,-169.55542,-17915.22733301465,909087432.0170615
6,907498287.9508644,GUAPORE,21.0,21.0,0.0,20,0.0,-224.87845,-0.0,907498287.9508644
6,904756475.0596164,QUEIMADO,557.0,95.25,461.75,20,92.35000000000001,-540.84467,-49947.0052745,904706528.0543419
6,899577162.5836272,STO ANTONIO,2282.800048828125,2077.300048828125,205.5,20,41.1,-16.37706,-673.097166,899576489.4864613
6,899502982.5567014,CORUMBA III,972.0,709.0,263.0,20,52.6,-760.21392,-39987.252192,899462995.3045094
6,889860295.036115,SAO MANOEL,577.219970703125,577.219970703125,0.0,20,0.0,-29.28219,-0.0,889860295.036115
6,889589497.9516519,SINOP,3071.199951171875,1012.4000244140625,2058.7999267578125,20,411.75998535156253,-147.82519,-60868.49806899195,889528629.4535829
6,888430585.3293045,SALTO,826.0599975585938,826.0599975585938,0.0,20,0.0,-535.08537,-0.0,888430585.3293045
6,882671751.4859743,COLIDER,1525.0,1525.0,0.0,20,0.0,-116.29835,-0.0,882671751.4859743
6,882179440.098358,TELES PIRES,897.219970703125,897.219970703125,0.0,20,0.0,-91.80399,-0.0,882179440.098358
6,881651898.3978026,SLT VERDINHO,264.4800109863281,264.4800109863281,0.0,20,0.0,-479.85807,-0.0,881651898.3978026
6,877093450.2187226,OURINHOS,20.81999969482422,20.81999969482422,0.0,20,0.0,-266.26994,-0.0,877093450.2187226
6,876395870.2617587,SERRA MESA,54400.0,11150.0,43250.0,20,8650.0,-380.07437,-3287643.3005,873108226.9612586
6,869346529.1225314,CANA BRAVA,2300.0,2300.0,0.0,20,0.0,-238.71176,-0.0,869346529.1225314
6,867191164.6410421,SAO SALVADOR,952.0,952.0,0.0,20,0.0,-193.49671,-0.0,867191164.6410421
6,866315398.732578,ESTRELA,232.5399932861328,232.5399932861328,0.0,20,0.0,-535.0853,-0.0,866315398.732578
6,860896753.7250179,LAJEADO,4940.0,4940.0,0.0,20,0.0,-139.12743,-0.0,860896753.7250179
6,860159747.7540898,RONDON II,478.2900085449219,192.1699981689453,286.12001037597656,20,57.224002075195315,-64.94649,-3716.4980785366515,860156031.2560112
6,859366704.311194,PONTE PEDRA,199.0,199.0,0.0,20,0.0,-263.74013,-0.0,859366704.311194
6,854952031.1294885,JIRAU,2746.699951171875,1249.8299560546875,1496.8699951171875,20,299.37399902343753,-34.44282,-10311.284761044433,854941719.8447274
6,854744445.1879867,ESPORA,209.0,71.0,138.0,20,27.6,-481.88427,-13300.005852,854731145.1821347
6,844724759.5259176,COMP PAF-MOX,1226.0,1226.0,0.0,20,0.0,-258.18587,-0.0,844724759.5259176
6,841998995.6014668,ITIQUIRA I,5.0,5.0,0.0,20,0.0,-237.8805,-0.0,841998995.6014668
6,839903709.915224,XINGO,3800.0,3800.0,0.0,20,0.0,-137.07784,-0.0,839903709.915224
6,839863954.9945716,ITIQUIRA II,1.0,1.0,0.0,20,0.0,-145.95924,-0.0,839863954.9945716
6,839850170.4206058,B. ESPERANCA,5085.0,3173.0,1912.0,20,382.40000000000003,-53.20239,-20344.593936,839829825.8266698
6,839038148.7450235,SOBRADINHO,34116.0,5447.0,28669.0,20,5733.8,-339.5,-1946625.1,837091523.6450235
6,830388925.8228133,ITAPARICA,10782.0,7234.0,3548.0,20,709.6,-311.78605,-221243.38108,830167682.4417332
6,827635065.1011388,SLT APIACAS,2.0799999237060547,2.0799999237060547,0.0,20,0.0,-26.59879,-0.0,827635065.1011388
6,827499331.6321278,JURUENA,2.140000104904175,2.140000104904175,0.0,20,0.0,-818.17268,-0.0,827499331.6321278
6,819622092.5583745,SUICA,0.3499999940395355,0.09000000357627869,0.25999999046325684,20,0.05199999809265137,-258.65799,-13.450214986649037,819622079.1081595
6,817414021.4601076,DARDANELOS,0.11999999731779099,0.11999999731779099,0.0,20,0.0,-105.12915,-0.0,817414021.4601076
6,817197622.463976,FOZ R. CLARO,95.33000183105469,95.33000183105469,0.0,20,0.0,-462.89437,-0.0,817197622.463976
6,813585519.3035951,CACU,227.4499969482422,195.75999450683594,31.69000244140625,20,6.33800048828125,-530.83807,-3364.4519468582766,813582154.8516482
6,809546566.6139286,B. COQUEIROS,347.79998779296875,300.0,47.79998779296875,20,9.55999755859375,-501.65706,-4795.840268851319,809541770.7736597
6,805986010.3452806,GUILMAN-AMOR,12.0,12.0,0.0,20,0.0,-313.72712,-0.0,805986010.3452806
6,803578831.3177044,GUARAPIRANGA,189.9600067138672,0.7699999809265137,189.19000673294067,20,37.838001346588136,-786.57197,-29762.311260048482,803549069.0064443
6,793365837.3495511,BILLINGS,1132.6500244140625,0.9800000190734863,1131.670024394989,20,226.3340048789978,-689.74053,-156111.73648226252,793209725.6130688
6,788313693.3580414,CANDONGA,29.75,27.1200008392334,2.6299991607666016,20,0.5259998321533204,-129.0198,-67.86439314445497,788313625.4936483
6,787265292.6269654,HENRY BORDEN,1.0,1.0,0.0,20,0.0,-673.27063,-0.0,787265292.6269654
6,783686356.1731957,JAGUARI,1236.0,443.0,793.0,20,158.60000000000002,-412.95055,-65493.957230000015,783620862.2159657
6,777358024.2221881,PARAIBUNA,4732.0,2096.0,2636.0,20,527.2,-496.08604,-261536.56028800004,777096487.6619002
6,771416292.4851217,SANTA BRANCA,439.0,131.0,308.0,20,61.6,-429.07209,-26430.840744,771389861.6443777
6,767635313.3355191,MONJOLINHO,150.47999572753906,150.47999572753906,0.0,20,0.0,-119.03631,-0.0,767635313.3355191
