MES_INICIO,RHS_FINAL_VOL,USINA,LAG,MLT,FATOR,PERC_MLT,CONTRIB,PIAFL,CALC_AFL,RHS_FINAL
6,1013508405.5725247,CANASTRA,1,527.8749327956989,2.63,80,1110.6488586021503,-181.24009,-201294.099091451,1013307111.4734333
6,1013307111.4734333,CANASTRA,2,702.1161290322582,2.63,80,1477.2523354838713,-177.31159,-261933.96043585864,1013045177.5129974
6,1013045177.5129974,CANASTRA,3,723.3913306451611,2.63,80,1522.015359677419,-130.86468,-199178.05299927032,1012845999.4599981
6,1012845999.4599981,CANASTRA,4,641.1242607526881,2.63,80,1348.9254446236557,-95.76257,-129176.56731555396,1012716822.8926826
6,1012716822.8926826,CANASTRA,5,510.64200268817206,2.63,80,1074.390773655914,-82.13028,-88240.01506977684,1012628582.8776128
6,1012628582.8776128,CANASTRA,6,343.9133064516129,2.63,80,723.5935967741935,-97.99815,-70910.83383571693,1012557672.0437771
6,1012557672.0437771,CANASTRA,7,225.74032258064517,2.63,80,474.95763870967744,-84.84417,-40297.38664148246,1012517374.6571356
6,1012517374.6571356,CANASTRA,8,177.64032258064518,2.63,80,373.7552387096775,-72.96372,-27270.572585746067,1012490104.0845499
6,1012490104.0845499,CANASTRA,9,155.65141129032259,2.63,80,327.4905693548387,0.0,0.0,1012490104.0845499
6,1012490104.0845499,CANASTRA,10,176.98487903225805,2.63,80,372.3761854838709,0.0,0.0,1012490104.0845499
6,1012490104.0845499,CANASTRA,11,243.2369623655914,2.63,80,511.7705688172043,0.0,0.0,1012490104.0845499
6,1012490104.0845499,CANASTRA,12,356.4777553763441,2.63,80,750.0291973118279,0.0,0.0,1012490104.0845499
6,1011943231.1764011,CORUMBA IV,1,527.8749327956989,2.63,80,1110.6488586021503,-5865.42496,-6514427.537040563,1005428803.6393605
6,1005428803.6393605,CORUMBA IV,2,702.1161290322582,2.63,80,1477.2523354838713,886.58448,1309708.9936837535,1006738512.6330442
6,1006738512.6330442,CORUMBA IV,3,723.3913306451611,2.63,80,1522.015359677419,-1986.95263,-3024172.4218114433,1003714340.2112328
6,1003714340.2112328,CORUMBA IV,4,641.1242607526881,2.63,80,1348.9254446236557,-456.18878,-615364.6528938231,1003098975.558339
6,1003098975.558339,CORUMBA IV,5,510.64200268817206,2.63,80,1074.390773655914,-368.57922,-395998.1133292934,1002702977.4450097
6,1002702977.4450097,CORUMBA IV,6,343.9133064516129,2.63,80,723.5935967741935,-214.28433,-155054.76907704823,1002547922.6759326
6,1002547922.6759326,CORUMBA IV,7,225.74032258064517,2.63,80,474.95763870967744,-84.22416,-40002.908155906065,1002507919.7677767
6,1002507919.7677767,CORUMBA IV,8,177.64032258064518,2.63,80,373.7552387096775,-49.305,-18428.002044580648,1002489491.7657322
6,1002489491.7657322,CORUMBA IV,9,155.65141129032259,2.63,80,327.4905693548387,-97.58158,-31957.047192744743,1002457534.7185395
6,1002457534.7185395,CORUMBA IV,10,176.98487903225805,2.63,80,372.3761854838709,-197.12192,-73403.50864485676,1002384131.2098947
6,1002384131.2098947,CORUMBA IV,11,243.2369623655914,2.63,80,511.7705688172043,-170.88699,-87454.9320757599,1002296676.2778189
6,1002296676.2778189,CORUMBA IV,12,356.4777553763441,2.63,80,750.0291973118279,-95.73652,-71805.18524902777,1002224871.09257
