,PERIODO,IREG,UHE,RHS,PIVARM,PIAFL(1),PIAFL(2),PIAFL(3),PIAFL(4),PIAFL(5),PIAFL(6),PIAFL(7),PIAFL(8),PIAFL(9),PIAFL(10),PIAFL(11),PIAFL(12),PIGTAD(P1L1),PIGTAD(P1L2),PIGTAD(P2L1),PIGTAD(P2L2),PIGTAD(P3L1),PIGTAD(P3L2),PIMX_SAR,PIMX_VMN
144,6,1140000,93,0.0,-386.53217,-276.39413,-46.76325,-37.31947,-35.97964,-21.11388,-50.88822,-41.78577,-37.16356,-54.07524,-60.8834,-64.03565,-34.60892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,6,1140000,113,0.0,-126.01662,-332.16116,-23.86289,-14.33695,-3.59796,-0.04272,-0.65865,-4.28295,-0.23523,-12.50521,-26.8837,-22.45373,-19.54455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,6,1140000,215,0.0,-202.2136,-281.13921,-249.88505,38.18195,-275.19673,-51.16369,-47.01505,-40.51162,-32.72505,-33.21311,-22.43821,-19.7502,-7.50421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,6,1140000,82,0.0,-83.61686,-67.7302,-80.56121,-24.94752,-21.71021,-22.1224,-19.80787,-17.67274,-16.20196,-14.02817,-7.57151,-6.78478,-5.48853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,6,1140000,78,0.0,-152.61359,-171.37011,-41.88702,-35.161,-31.03387,-25.82396,-24.97151,-21.37599,-19.65427,-20.46164,-9.43004,-12.14871,-14.70642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,6,1140000,76,0.0,-370.75822,-817.5286,-294.17297,-28.33846,-611.27325,-188.40303,-172.25151,-149.38118,-135.72742,-112.11094,-61.51445,-60.2995,-36.04008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,6,1140000,77,0.0,-261.30635,-400.06794,-176.98126,-445.67336,-71.34112,-52.22756,-44.40034,-39.94546,-35.98457,-37.60092,-11.26841,-26.07274,-17.84805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,6,1140000,154,0.0,-89.86964,-925.55006,-110.26283,-95.49341,-70.26786,-67.43668,-65.31078,-37.15154,-21.03332,-12.05385,-4.23688,-4.7946,-3.60396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,6,1140000,267,0.0,-100.01888,-549.087,138.75373,-1.07663,-16.58223,-15.42389,-12.04606,-11.67461,-9.98821,-9.27227,-7.05187,-5.77517,-4.80834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,6,1140000,284,0.0,-17.01425,-41.74822,-8.81701,-1.31151,-2.4146,-6.83885,3.0234,0.33689,1.00277,1.34613,1.54058,1.16131,-0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,6,1140000,277,0.0,-24.78977,-20.94951,-33.82522,13.5794,-7.79951,-6.73675,-6.64646,-7.77448,-8.66641,-6.49209,-2.43883,-0.22777,-0.20249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,6,1140000,280,0.0,-16.98489,-4.72378,-5.63701,-3.76986,-3.39908,-3.32279,-4.05935,-3.54698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,6,1140000,286,0.0,-1.66784,-20.09992,-7.07382,-7.33354,-6.95895,-7.27199,-7.62004,-6.94467,-6.1868,-3.92424,-3.19256,-2.0571,-0.90376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,6,1140000,314,0.0,-14.07808,-0.6354,-0.24681,-0.24681,-0.24681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,6,1140000,272,0.0,-6.97493,-29.92681,-10.43502,-5.89226,-5.70088,-5.71623,-5.79817,-6.18741,-4.759,-4.50844,-3.77653,-3.57881,-1.71532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,6,1140000,288,0.0,-99.95834,-53.50875,-52.83271,-29.05715,-29.05715,-26.66589,-23.73064,-23.12247,-19.16332,-20.58734,-18.02577,-15.83861,-14.38927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
